date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2023-03-28,2023,UNHCR 2023 Global Appeal	Saharawis	Algeria	United Nations High Commissioner for Refugees,1100000,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286963,SPRMCO23VC0023,2023-08-29,2023-08-29
2023-03-28,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286972,SPRMCO23VC0023,2023-08-29,2023-09-20
2023-03-28,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286973,SPRMCO23VC0023,2023-08-29,2023-09-20
2023-03-28,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286974,SPRMCO23VC0023,2023-08-29,2023-09-19
2023-03-28,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286975,SPRMCO23VC0023,2023-08-29,2023-09-20
2023-03-28,2023,"UNHCR 2023 Global Appeal	Multi-Population/Other	Loosely earmarked for operations in the Africa Region - not earmarked by country	United Nations High Commissioner for Refugees
---- USA / BPRM",0,"United States of America, Government of",Governments,USA,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,"BDI,CAF,CMR,COD,DZA,EGY,ETH,KEN,MLI,MOZ,MWI,NER,NGA,SDN,SOM,SSD,TCD,TUN,TZA,UGA",,,,2023,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2023-08-22,2023-03-28,USA/BPRM,,,,286976,SPRMCO23VC0023,2023-08-29,2023-09-20
2023-03-23,2023,Humanitarian initial allocation 2023,936856,"Sweden, Government of",Governments,SWE,2023,2023,,,,Oxfam GB,NGOs,Other,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-04-25,2023-03-23,,10000000,SEK,10.674,276331,,2023-04-26,2023-05-19
2023-01-11,2023,Algeria/Food Security,1500000,"United States of America, Government of",Governments,USA,2023,2023,,,,World Food Programme,Multilateral Organizations,"Food Security,Nutrition",DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-02-06,2023-01-11,USAID/BHA,,,,270716,720BHA23IO00077,2023-02-17,2023-03-10
2022-10-03,,"Algeria:  Support to COVID-19 Vaccine Rollout
USAID",1284986,"United States of America, Government of",Governments,USA,2022,2022,,,,United Nations Children's Fund,Multilateral Organizations,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,paid,2022-12-09,2022-09-29,"USAID,COVID-19 Assistance",,,,266247,SM220713     7200GH21IO00004,2022-12-28,2023-02-01
2022-07-07,2022,"Improving access to potable water through initiating the network expansion to Sahrawi refugees living in Boujdour camp, Tindouf, Algeria",758693,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,Oxfam,NGOs,Water Sanitation Hygiene,DZA,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-07-07,2022-07-07,Multiyear,720000,EUR,0.949,255072,ECHO/-NF/BUD/2022/91010,2023-11-17,2023-11-17
2022-07-07,2022,"Improving access to potable water through initiating the network expansion to Sahrawi refugees living in Boujdour camp, Tindouf, Algeria",84299,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,Oxfam,NGOs,Water Sanitation Hygiene,DZA,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-07-07,2022-07-07,"Multiyear,COVID-19 Assistance",80000,EUR,0.949,255073,ECHO/-NF/BUD/2022/91010,2023-11-17,2023-11-17
2022-06-26,,"Senior Food Security Expert No Secondment Techn. Assistance inc. 
Experts
Food security, Emergency food 
assistance",74849,"Switzerland, Government of",Governments,CHE,2022,2022,,,,World Food Programme,Multilateral Organizations,Food Security,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,paid,2022-08-03,2022-06-26,,74400,CHF,0.994,256534,Z7H414400110,2022-08-04,2022-08-04
2022-06-23,2022,Food and Nutrition Assistance to Refugees from Western Sahara in Algeria,3121375,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,World Food Programme,Multilateral Organizations,Food Security,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-11-16,2022-06-23,Multiyear,2990277,EUR,0.958,267030,ECHO/-NF/BUD/2022/91008,2023-01-12,2023-01-12
2022-06-23,2022,Food and Nutrition Assistance to Refugees from Western Sahara in Algeria,410288,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,World Food Programme,Multilateral Organizations,Nutrition,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-11-16,2022-06-23,Multiyear,393056,EUR,0.958,267031,ECHO/-NF/BUD/2022/91008,2023-01-12,2023-01-12
2022-01-01,2023,The Luxembourgish Government has Strategic Partnership Framework (SPF) with the UNHCR. The UNHCR guarantees the rights of displaced people and refugees.,170261,"Luxembourg, Government of",Governments,LUX,2022,2022,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,"Coordination and support services,Other,Protection",DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-10-26,2022-01-01,Multiyear,150000,EUR,0.881,292065,AH/UNHCR/SPF/2022,2023-10-27,2023-10-27
2021-12-07,2022,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO (ECHO/-NF/BUD/2022/91000)",1008911,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,,,,DZA,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-01-04,2021-12-07,Multiyear,895913,EUR,0.888,245750,ECHO/-NF/BUD/2022/91000,2022-12-21,2023-03-10
2021-12-07,2022,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO (ECHO/-NF/BUD/2022/91000)
COVID-19 Assistance",0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2022,2022,,,,,,,DZA,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-01-04,2021-12-07,"Multiyear,COVID-19 assistance",0,EUR,0.888,245751,ECHO/-NF/BUD/2022/91000,2022-12-21,2023-08-31
2021-11-23,2021,"ICRC Assistance, Protection, Prevention ans Cooperation Activities in the Africa region (loosely earmarked) in 2021 -2024",5733944,"Germany, Government of",Governments,DEU,2021,2024,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Protection,"BFA,CAF,COD,DZA,ETH,LBY,MLI,MOZ,MRT,NER,NGA,SDN,SOM,SSD,TCD",,,,2021,2024,financial,Parked,Traditional aid,incoming,shared,commitment,2023-02-22,2021-11-23,Multiyear,5000000,EUR,0.872,271045,F-PF-2-321.50 AFR 02/21,2023-02-23,2023-09-30
2021-11-23,2023,"ICRC Assistance, Protection, Prevention ans Cooperation Activities in the Africa region (loosely earmarked) in 2021 -2024",21216,"Germany, Government of",Governments,DEU,2023,2023,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-02-22,2021-11-23,Multiyear,18500,EUR,0.872,271084,F-PF-2-321.50 AFR 02/21,2023-02-23,2023-03-07
2021-10-01,,Algeria: Support toCOVID-19 Vaccine Roll Out	Health,500000,"United States of America, Government of",Governments,USA,2022,2022,,,,United Nations Children's Fund,Multilateral Organizations,Health,DZA,,,Coronavirus disease Outbreak - COVID -19,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-01,2022-05-31,,,,,254954,SM220402 7200GH22IO00001,2022-07-06,2022-07-06
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,,DZA,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2021-06-28,2021-06-16,Multiyear,0,EUR,0.93,234022,ECHO/-NF/BUD/2021/91008,2023-07-13,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,,DZA,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2021-06-28,2021-06-16,Multiyear,0,EUR,0.93,234023,ECHO/-NF/BUD/2021/91008,2023-07-13,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,1,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,,DZA,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-07-06,2021-06-16,Multiyear,1,EUR,0.93,255022,ECHO/-NF/BUD/2021/91008,2023-07-13,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,0,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,,DZA,,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-07-06,2021-06-16,Multiyear,0,EUR,0.82,255023,ECHO/-NF/BUD/2021/91008,2023-07-13,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,378468,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-06,2021-06-16,,310344,EUR,0.82,275040,ECHO/-NF/BUD/2021/91008,2023-04-06,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,303939,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-06,2021-06-16,Multiyear,249230,EUR,0.82,275044,ECHO/-NF/BUD/2021/91008,2023-04-06,2023-04-06
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,107787,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2021-06-28,2021-06-16,Multiyear,100242,EUR,0.93,284331,ECHO/-NF/BUD/2021/91008,2023-07-21,2023-07-21
2021-06-16,2021,Provision of medicines and medical consumables for the Sahrawi refugees in Tindouf camps and facilitation of COVID-19 vaccination process.,40044,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2021,2021,,,,Médicos do Mundo,NGOs,Health,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-06,2021-06-16,Multiyear,37241,EUR,0.93,284334,ECHO/-NF/BUD/2021/91008,2023-07-21,2023-07-21
2019-06-21,2019,Food emergency assistance for Sahrawi refugees in Algeria,0,"Germany, Government of",Governments,DEU,2019,2023,,,,World Food Programme,Multilateral Organizations,,DZA,,,,2019,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2019-12-03,2019-06-21,Multiyear,0,EUR,0.899,194123,AA-S09 321.50 ESH 02/19,2019-12-04,2020-11-18
2019-06-21,2023,Food emergency assistance for Sahrawi refugees in Algeria (2023 portion),1112347,"Germany, Government of",Governments,DEU,2023,2023,,,,World Food Programme,Multilateral Organizations,Food Security,DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2020-11-17,2019-06-21,Multiyear,1000000,EUR,0.899,223442,AA-S09 321.50 ESH 02/19,2020-11-18,2020-11-18
2019-06-19,2019,Assistance and protection measures for Sahrawi refugees in Algeria,0,"Germany, Government of",Governments,DEU,2019,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,DZA,,,,2019,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2019-12-04,2019-06-19,Multiyear,0,EUR,0.899,193815,AA-S09 321.50 ESH 01/19,2019-12-05,2020-11-27
2019-06-19,2023,Assistance and protection measures for Sahrawi refugees in Algeria (2023 portion),1137656,"Germany, Government of",Governments,DEU,2023,2023,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,"Coordination and support services,Early Recovery,Emergency Shelter and NFI,Health,Logistics,Nutrition,Protection,Water Sanitation Hygiene",DZA,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2020-11-25,2019-06-19,Multiyear,1000000,EUR,0.879,224072,AA-S09 321.50 ESH 01/19,2020-11-26,2020-11-27
